date,price
2024-03-11,4.246105456560884e-05
2024-03-12,4.5068174954490724e-05
2024-03-13,4.109821832099136e-05
2024-03-14,4.4859931841741396e-05
2024-03-15,5.006805327030109e-05
2024-03-16,4.4723612020961754e-05
2024-03-17,3.675894844229411e-05
2024-03-18,3.9137901059900143e-05
2024-03-19,3.429432024489762e-05
2024-03-20,3.3028824466616685e-05
2024-03-21,4.18487438288442e-05
2024-03-22,3.9334129573221306e-05
2024-03-23,3.6973962608038154e-05
2024-03-24,3.669640807383409e-05
2024-03-25,3.905874582458869e-05
2024-03-26,4.027677296451823e-05
2024-03-27,4.0041046629244335e-05
2024-03-28,3.815750509423966e-05
2024-03-29,4.0008877333175876e-05
2024-03-30,3.891542634127013e-05
2024-03-31,4.058820148694251e-05
2024-04-01,4.401926177887768e-05
2024-04-02,4.019536394921863e-05
2024-04-03,3.6785690434499864e-05
2024-04-04,3.441212406246411e-05
2024-04-05,3.4964228200499674e-05
2024-04-06,3.3430758172907706e-05
2024-04-07,3.436509558139309e-05
2024-04-08,3.7717063198145845e-05
2024-04-09,3.9036346754270686e-05
2024-04-10,3.5241799381986566e-05
2024-04-11,3.607737447848495e-05
2024-04-12,3.7323815508672414e-05
2024-04-13,3.050308304819972e-05
2024-04-14,2.60890297267787e-05
2024-04-15,2.7982858769769717e-05
2024-04-16,2.645980210021345e-05
2024-04-17,2.8597044898354163e-05
2024-04-18,2.5779479310356865e-05
2024-04-19,2.665897685412582e-05
2024-04-20,2.6761313874547352e-05
2024-04-21,3.0084644218047382e-05
2024-04-22,3.104095871088491e-05
2024-04-23,3.5588065655314836e-05
2024-04-24,3.9414035753186475e-05
2024-04-25,3.7410567590683556e-05
2024-04-26,4.034626181049717e-05
2024-04-27,3.761364194931624e-05
2024-04-28,3.694230255694908e-05
2024-04-29,3.690632459931077e-05
2024-04-30,3.762015354888721e-05
2024-05-01,3.47157475500387e-05
2024-05-02,3.646345942330559e-05
2024-05-03,3.867302966888931e-05
2024-05-04,4.10870512969679e-05
2024-05-05,4.3937507716516876e-05
2024-05-06,4.308652844400999e-05
2024-05-07,4.232198477039123e-05
2024-05-08,4.031759502303783e-05
2024-05-09,4.0650412209027124e-05
2024-05-10,4.3965129558149436e-05
2024-05-11,4.3399486207584145e-05
2024-05-12,4.370538197052644e-05
2024-05-13,4.505489799343371e-05
2024-05-14,5.0786220239090106e-05
2024-05-15,5.3914546857753395e-05
2024-05-16,5.421286408277417e-05
2024-05-17,5.15811605763317e-05
2024-05-18,5.208114784651832e-05
2024-05-19,4.8705840390332155e-05
2024-05-20,4.677193994704195e-05
2024-05-21,5.736818285550653e-05
2024-05-22,7.074948437859813e-05
2024-05-23,6.875835603822162e-05
2024-05-24,7.677185164901104e-05
2024-05-25,7.318642055476465e-05
2024-05-26,7.718703712819955e-05
2024-05-27,8.249483697237697e-05
2024-05-28,8.611623732714032e-05
2024-05-29,8.256798478568346e-05
2024-05-30,7.659894904831197e-05
2024-05-31,7.499745453421958e-05
2024-06-01,8.100219046789601e-05
2024-06-02,7.793228025265919e-05
2024-06-03,7.641997296700272e-05
2024-06-04,7.579582583212153e-05
2024-06-05,7.589988332117124e-05
2024-06-06,7.72787515937996e-05
2024-06-07,7.568901352199388e-05
2024-06-08,6.855271743013616e-05
2024-06-09,6.486463922261671e-05
2024-06-10,6.799774445754016e-05
2024-06-11,6.470694464736555e-05
2024-06-12,6.85722833444223e-05
2024-06-13,7.115671242870871e-05
2024-06-14,6.366459401277558e-05
2024-06-15,6.115364633798166e-05
2024-06-16,6.350201557592757e-05
2024-06-17,6.600359551977974e-05
2024-06-18,6.061170820610557e-05
2024-06-19,5.990289237761781e-05
2024-06-20,6.161717879416042e-05
2024-06-21,5.9816070958221264e-05
2024-06-22,6.195867716472316e-05
2024-06-23,6.203095660959804e-05
2024-06-24,5.9126581731021755e-05
2024-06-25,6.078471942783499e-05
2024-06-26,6.983968439019162e-05
2024-06-27,6.89409616058796e-05
2024-06-28,6.894858451868368e-05
2024-06-29,6.452360224717241e-05
2024-06-30,6.316106849253632e-05
2024-07-01,6.619546208192142e-05
2024-07-02,6.455944894427603e-05
2024-07-03,6.407257121753758e-05
2024-07-04,5.6891280976357505e-05
2024-07-05,4.899479639736588e-05
2024-07-06,4.853638468467405e-05
2024-07-07,5.333552220609001e-05
2024-07-08,4.589393090391372e-05
2024-07-09,5.014877454487892e-05
2024-07-10,4.918471437296946e-05
2024-07-11,4.983992458000728e-05
2024-07-12,4.8369559808870555e-05
2024-07-13,4.708476306824089e-05
2024-07-14,4.7267622755073014e-05
2024-07-15,5.0090153020852855e-05
2024-07-16,6.203845915617576e-05
2024-07-17,6.71126775483711e-05
2024-07-18,6.413970584955744e-05
2024-07-19,6.464644127087016e-05
2024-07-20,7.10471885739861e-05
2024-07-21,6.856503369064673e-05
2024-07-22,6.925307826886311e-05
2024-07-23,6.628655902764053e-05
2024-07-24,7.054494294694333e-05
2024-07-25,6.910075893344495e-05
2024-07-26,6.476034400144006e-05
2024-07-27,6.812215838731505e-05
2024-07-28,6.745867342896204e-05
2024-07-29,6.630927973195355e-05
2024-07-30,6.637054188988374e-05
2024-07-31,6.336036062866085e-05
2024-08-01,6.255588838545922e-05
2024-08-02,6.090088112285227e-05
2024-08-03,5.3292271165333146e-05
2024-08-04,4.9552357806850835e-05
2024-08-05,4.6142466595594464e-05
2024-08-06,4.04841831362855e-05
2024-08-07,4.370663013507744e-05
2024-08-08,4.159285538274127e-05
2024-08-09,4.862294148188092e-05
2024-08-10,4.684227595787838e-05
2024-08-11,4.641840661257886e-05
2024-08-12,4.266132136044741e-05
2024-08-13,4.527405947783054e-05
2024-08-14,4.468207177815748e-05
2024-08-15,4.3871081859227005e-05
2024-08-16,4.0910823998541545e-05
2024-08-17,3.9228793806919534e-05
2024-08-18,4.090879795741762e-05
2024-08-19,3.993573222340601e-05
2024-08-20,4.161173534564836e-05
2024-08-21,4.260987426802284e-05
2024-08-22,4.340394563152608e-05
2024-08-23,4.469473385191097e-05
2024-08-24,4.9708239449847895e-05
2024-08-25,5.1915027578018306e-05
2024-08-26,5.00395668078216e-05
2024-08-27,4.689612335352396e-05
2024-08-28,4.212552706637846e-05
2024-08-29,4.2836188357431846e-05
2024-08-30,4.312753954005468e-05
2024-08-31,4.366743223881031e-05
2024-09-01,4.292281685693374e-05
2024-09-02,4.0200729359862946e-05
2024-09-03,4.269680388471003e-05
2024-09-04,4.10772057420236e-05
2024-09-05,4.1479272668053494e-05
2024-09-06,3.952645863615962e-05
2024-09-07,3.718808833555106e-05
2024-09-08,3.7792023277205596e-05
2024-09-09,3.955263364028371e-05
2024-09-10,4.1329141243460026e-05
2024-09-11,4.233325477760751e-05
2024-09-12,4.1049895377163505e-05
2024-09-13,4.1711036581600245e-05
2024-09-14,4.41121966963352e-05
2024-09-15,4.310917410269717e-05
2024-09-16,4.1208770208503525e-05
2024-09-17,3.9644456843024167e-05
2024-09-18,4.008886067369986e-05
2024-09-19,4.102877912127963e-05
2024-09-20,4.316473430538286e-05
2024-09-21,4.5189371082517433e-05
2024-09-22,4.6445191621689395e-05
2024-09-23,4.409402316880477e-05
2024-09-24,4.4943268285255495e-05
2024-09-25,4.692772093668404e-05
2024-09-26,4.61684802149883e-05
2024-09-27,5.178732110808828e-05
2024-09-28,5.810554407283096e-05
2024-09-29,6.147070587928584e-05
2024-09-30,6.146425347593583e-05
2024-10-01,5.713595689252865e-05
2024-10-02,5.2610165613633036e-05
2024-10-03,5.027756268911745e-05
2024-10-04,4.7287673317118006e-05
2024-10-05,5.118527465395805e-05
2024-10-06,5.096686058399854e-05
2024-10-07,5.579581597512642e-05
2024-10-08,5.4228553810406134e-05
2024-10-09,5.26833130563327e-05
2024-10-10,5.098110262606047e-05
2024-10-11,5.159953405797599e-05
2024-10-12,5.459575617128474e-05
2024-10-13,5.5624479246690104e-05
2024-10-14,5.416964813560261e-05
2024-10-15,6.1005772973928764e-05
2024-10-16,5.8432770914710614e-05
2024-10-17,5.922776076048151e-05
2024-10-18,5.568001841370922e-05
2024-10-19,5.97958453721002e-05
2024-10-20,5.980504883464496e-05
2024-10-21,6.0493866911413015e-05
2024-10-22,5.794750410129621e-05
2024-10-23,5.7222166056940315e-05
2024-10-24,5.5822212304046056e-05
2024-10-25,5.656096621531175e-05
2024-10-26,4.9728674925197316e-05
2024-10-27,5.1688116467757656e-05
2024-10-28,5.2252829652718705e-05
2024-10-29,5.23826540664209e-05
2024-10-30,5.557286321806807e-05
2024-10-31,5.576613270617486e-05
2024-11-01,5.278304836217155e-05
2024-11-02,5.215773896450264e-05
2024-11-03,5.103816556619899e-05
2024-11-04,4.750561250842497e-05
2024-11-05,4.5750573918452687e-05
2024-11-06,4.8994945842769306e-05
2024-11-07,5.634861256296286e-05
2024-11-08,6.198800800950551e-05
2024-11-09,6.204639629183597e-05
2024-11-10,6.414103861074585e-05
2024-11-11,7.0383188315509e-05
2024-11-12,7.479325230333733e-05
2024-11-13,8.253230070901096e-05
2024-11-14,0.0001211041070811883
2024-11-15,0.00011945310274214207
2024-11-16,0.00013582193618874846
2024-11-17,0.00012311251333949427
2024-11-18,0.0001228686553413692
2024-11-19,0.00011714684495926951
2024-11-20,0.00011364768485860711
2024-11-21,0.00010861034845176647
2024-11-22,0.00012093531672829853
2024-11-23,0.00011913466969576712
2024-11-24,0.000118726997381268
2024-11-25,0.00011728305439915675
2024-11-26,0.00011033624346098695
2024-11-27,0.0001057950100437122
2024-11-28,0.00011767155838967271
2024-11-29,0.00011936197296968842
2024-11-30,0.00012254718614616937
2024-12-01,0.00012109855294947703
2024-12-02,0.00013349428096333594
2024-12-03,0.00012380798879103852
2024-12-04,0.00012343033449135684
2024-12-05,0.0001307047455394508
2024-12-06,0.00012854478398507014
2024-12-07,0.00013202175766178925
2024-12-08,0.000153011545452607
2024-12-09,0.00016095905389340944
2024-12-10,0.00015891204095829414
2024-12-11,0.0001424648432701064
2024-12-12,0.0001498845327092637
2024-12-13,0.00014195942140657472
2024-12-14,0.00014933104347883362
2024-12-15,0.00014071800919641833
2024-12-16,0.0001463359816116755
2024-12-17,0.00014480530160501925
2024-12-18,0.0001364413845127821
2024-12-19,0.00012224700024198023
2024-12-20,0.00010585877722315735
2024-12-21,0.00010759190091896167
2024-12-22,0.0001058529455923491
2024-12-23,0.00010834826426029262
2024-12-24,0.00011429585979610582
2024-12-25,0.00011923231039703532
2024-12-26,0.00012471651390063464
2024-12-27,0.00010734253390551312
2024-12-28,0.00011050430381149705
2024-12-29,0.00011604388396971832
2024-12-30,0.00011077193420509065
2024-12-31,0.00011313494555348708
2025-01-01,0.00012355575971237316
2025-01-02,0.00012205045351349775
2025-01-03,0.00012592508317920545
2025-01-04,0.0001330724189782175
2025-01-05,0.0001308454028160107
2025-01-06,0.00012807121720557742
2025-01-07,0.00012693788399258332
2025-01-08,0.00011375832819782486
2025-01-09,0.00010888973719946569
2025-01-10,0.00010274377106027767
2025-01-11,0.00010813871361792362
2025-01-12,0.00011040642187752621
2025-01-12,0.00010777304154860267
